
Playing Time	Performance	Expected	Progression	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	xG	npxG	xAG	npxG+xAG	PrgC	PrgP	PrgR	Gls	Ast	G+A	G-PK	G+A-PK	xG	xAG	xG+xAG	npxG	npxG+xAG	Matches
25	Anderson	br BRA	GK	Cruzeiro	25	1998	17	17	1,530	17.0	0	0	0	0	0	0	2	0	0.0	0.0	0.0	0.0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
26	Felipe Anderson	br BRA	FW	Palmeiras	30	1993	20	16	1,310	14.6	2	2	4	2	0	0	0	0	2.8	2.8	4.3	7.0	46	57	122	0.14	0.14	0.27	0.14	0.27	0.19	0.29	0.48	0.19	0.48	Matches
27	Kervin Andrade	ve VEN	MF	Fortaleza	18	2005	13	4	484	5.4	1	1	2	1	0	0	2	0	1.1	1.1	1.1	2.2	6	17	39	0.19	0.19	0.37	0.19	0.37	0.20	0.21	0.41	0.20	0.41	Matches
28	Rodrigo Andrade	br BRA	MF,FW	Vitória	26	1997	6	4	385	4.3	0	0	0	0	0	0	0	0	0.3	0.3	0.2	0.5	6	15	12	0.00	0.00	0.00	0.00	0.00	0.06	0.05	0.11	0.06	0.11	Matches
29	André	br BRA	MF	Fluminense	22	2001	12	12	1,072	11.9	0	1	1	0	0	0	5	0	0.1	0.1	0.1	0.2	9	64	7	0.00	0.08	0.08	0.00	0.08	0.01	0.01	0.02	0.01	0.02	Matches
30	José Andrés Martínez	ve VEN	MF	Corinthians	29	1994	11	8	633	7.0	0	0	0	0	0	0	5	1	0.0	0.0	0.1	0.2	6	25	5	0.00	0.00	0.00	0.00	0.00	0.01	0.02	0.03	0.01	0.03	Matches
31	Wilker Ángel	ve VEN	DF	Criciúma	30	1993	13	12	985	10.9	1	0	1	1	0	0	3	0	0.6	0.6	0.0	0.6	1	15	3	0.09	0.00	0.09	0.09	0.09	0.06	0.00	0.06	0.06	0.06	Matches
32	Anthoni	br BRA	GK	Internacional	22	2002	2	2	180	2.0	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
33	Marcos Antônio	br BRA	MF	São Paulo	23	2000	13	10	844	9.4	0	0	0	0	0	0	1	0	0.1	0.1	0.3	0.4	10	50	13	0.00	0.00	0.00	0.00	0.00	0.01	0.04	0.04	0.01	0.04	Matches
34	Guilherme Arana	br BRA	DF	Atlético Mineiro	26	1997	17	13	1,303	14.5	1	1	2	1	0	0	5	0	0.6	0.6	1.0	1.6	43	94	113	0.07	0.07	0.14	0.07	0.14	0.04	0.07	0.11	0.04	0.11	Matches
35	Charles Aránguiz	cl CHI	MF	Internacional	34	1989	7	2	287	3.2	0	0	0	0	0	0	2	0	0.4	0.4	0.1	0.5	1	9	10	0.00	0.00	0.00	0.00	0.00	0.14	0.02	0.16	0.14	0.16	Matches
